address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan Sri Mujur 6, Taman Sri Mujur, 43200, Selangor","1 Bedroom(s),1 Bathroom(s)",3.075206,https://www.iproperty.com.my/property/you-residences-cheras-4598689,101.763858,"You Residences, Batu 9 Cheras, Cheras","RM 300,000",High,533 sq. ft.,Freehold
"Jalan Bukit Mutiara 4, Taman Bukit Mutiara, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",0,https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5567985,0,"Pangsapuri Saujana Permai, Mutiara Height, Ka..","RM 305,000",High,"1,001 sq. ft.",Freehold
"Jalan Bandar Puchong Jaya, Bandar Puchong Jaya, 47, 47100, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.06125,https://www.iproperty.com.my/property/sri-tanjung-puchong-5431841,101.625809,"Sri Tanjung, Puchong","RM 350,000",High,"1,010 sq. ft.",Freehold
"Jalan PJU 1A/3, Ara Damansara, 47301, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.122416,https://www.iproperty.com.my/property/maisson-ara-damansara-5396924,101.589154,"Maisson, Ara Damansara","RM 360,000",High,500 sq. ft.,Freehold
"Jalan 14/3 Section 8, 43300, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.034883,https://www.iproperty.com.my/property/megaria-tulip-seri-kembangan-5414854,101.699324,"Megaria Tulip, Taman Bukit Serdang, Seri Kemb..","RM 318,000",High,830 sq. ft.,Freehold
"Persiaran Kewajipan, USJ 19, 47630, Selangor","3 Bedroom(s),2 Bathroom(s)",,https://www.iproperty.com.my/property/rhythm-avenue-usj-19-usj-1712831,,"Rhythm Avenue Usj 19, Subang Jaya, Usj","RM 365,000",High,910 sq. ft.,Freehold
"Jalan Wawasan 2/3, Pusat Bandar Puchong,, 47100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.030208,https://www.iproperty.com.my/property/akasia-apartments-puchong-4023120,101.619816,"Akasia Apartments, Pusat Bandar Puchong, Puch..","RM 345,000",High,818 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.131582,https://www.iproperty.com.my/property/seri-pinang-shah-alam-4959864,101.466948,"Seri Pinang, Setia Alam, Shah Alam","RM 300,000",High,850 sq. ft.,Freehold
"Jalan Pipit, Bandar Puchong Jaya, 47100, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.068085,https://www.iproperty.com.my/property/villamas-apartment-puchong-4495065,101.623985,"Villamas Apartment, Puchong","RM 350,000",High,"1,058 sq. ft.",Freehold
"Persiaran Kewajipan, USJ 19, 47630, Selangor","3 Bedroom(s),2 Bathroom(s)",3.043901,https://www.iproperty.com.my/property/rhythm-avenue-usj-19-usj-668631,101.58065,"Rhythm Avenue Usj 19, Subang Jaya, Usj","RM 330,000",High,821 sq. ft.,Freehold
"Jalan Pahlawan 1, Bandar Mahkota Cheras, Selangor","3+1 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.06606,https://www.iproperty.com.my/property/suria-residence-cheras-5523208,101.786338,"Suria Residence, Cheras South, Cheras","RM 328,000",High,"1,057 sq. ft.",Freehold
"Jalan Wawasan 2/3, Pusat Bandar Puchong, 47100 Puc, 47100, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.029751,https://www.iproperty.com.my/property/kenanga-apartments-puchong-5093046,101.620911,"Kenanga Apartments, Puchong","RM 365,000",High,883 sq. ft.,Freehold
"Jalan Cheras, 43200, Selangor","Studio Bedroom(s),1 Bathroom(s)",3.072283,https://www.iproperty.com.my/property/you-city-%40-cheras--residences--retail-cheras-5245012,101.763675,"You City @ Cheras - Residences & Retail, Batu..","RM 340,000",High,533 sq. ft.,Freehold
"Jalan Wawasan 4/12, Taman Wawasan,, 47100, Selangor","3 Bedroom(s),2 Bathroom(s)",3.031616,https://www.iproperty.com.my/property/pangsapuri-saraka-puchong-5556060,101.627344,"Pangsapuri Saraka, Puchong","RM 377,000",High,900 sq. ft.,Freehold
"Batu 9, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.068518,https://www.iproperty.com.my/property/sering-akasia-cheras-5025066,101.770423,"Sering Akasia, Taman Sungai Sering,Batu 9, Ch..","RM 375,000",High,972 sq. ft.,Freehold
